pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,,,,,14.299920599994948,15.282274999975925,15.282274999975925,15.282274999975925,15.282274999975925,15.299135499983095,16.2820685999759,16.2820685999759,x,1,0.8903810999763664,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,0,1,1,1,,,,,17.19870739997714,18.198570499982452,18.198570499982452,18.198570499982452,18.198570499982452,18.198570499982452,19.19830269998056,19.19830269998056,v,1,0.8700450999895111,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
50,c,0,2,2,2,,,,,20.09840279998025,21.098261699982686,21.098261699982686,21.098261699982686,21.098261699982686,21.098261699982686,22.098092499974882,22.098092499974882,c,1,0.6539654000080191,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,0,3,3,3,,,,,22.78135309999925,23.781317899993155,23.781317899993155,23.781317899993155,23.781317899993155,23.781317899993155,24.781097099999897,24.781097099999897,z,1,0.7734074000036344,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-50,x,1,0,4,0,,,,,25.5809463999758,26.580872999998974,26.580872999998974,26.580872999998974,26.580872999998974,26.580872999998974,27.5806216999772,27.5806216999772,x,1,0.5062463999784086,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,1,1,5,1,,,,,28.11387209998793,29.114138499979163,29.114138499979163,29.114138499979163,29.114138499979163,29.114138499979163,30.113711699988926,30.113711699988926,v,1,0.37806109999655746,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
50,c,1,2,6,2,,,,,30.51352290000068,31.51367049998953,31.51367049998953,31.51367049998953,31.51367049998953,31.51367049998953,32.51338609997765,32.51338609997765,c,1,0.7237728000036441,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,1,3,7,3,,,,,33.26321539998753,34.26303679999546,34.26303679999546,34.26303679999546,34.26303679999546,34.26303679999546,35.26301749999402,35.26301749999402,z,1,1.0156251000007614,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-50,x,2,0,8,0,,,,,36.2960612999741,37.296107599977404,37.296107599977404,37.296107599977404,37.296107599977404,37.296107599977404,38.29602209999575,38.29602209999575,x,1,1.0406956000078935,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,2,1,9,1,,,,,39.362509499973385,40.36271209997358,40.36271209997358,40.36271209997358,40.36271209997358,40.36271209997358,41.36232629997539,41.36232629997539,v,1,1.0708223000110593,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
